Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
71,40.5562,-88.0266,266.411,485.09,381.69,329.86,155.23,919.87,465.73,126.821,199.042,72.2098,434.78,0.0326979,0,0,71,0.968373,0.970308,1.02128,1.04496,1.00895,0.986038,1.00244,1.00047,0.989786,bepridil,31.5,15
72,40.8305,-88.018,265.726,493.26,387.49,333.62,159.64,908.82,457.89,136.581,209.76,73.1675,415.56,0.0281216,0,0,72,1.0158,1.03732,1.03828,1.00202,1.04664,1.01125,0.993055,0.992873,1.0427,bepridil,31.5,15
73,40.6117,-88.0416,267.617,497.9,390.2,335.37,162.53,932.87,476.84,123.483,195.488,71.9947,434.97,0.0307586,0,0,73,1.0407,0.990294,1.02764,0.958092,1.03141,0.978729,0.988468,1.03496,0.968302,bepridil,31.5,15
74,40.7911,-88.0258,266.263,488.48,384.46,331.37,157.11,910.77,459.1,134.277,207.623,73.3344,422.29,0.0295933,0,0,74,1.03465,1.02806,0.997941,1.01507,1.0365,1.02662,0.961414,1.00579,1.00494,bepridil,31.5,15
75,40.5234,-88.0093,265.258,501.5,393.94,338.18,163.32,923.85,470.38,130.348,203.321,72.9611,422.35,0.0291318,0,0,75,0.97166,1.00738,0.99286,0.973039,0.962232,0.992262,0.972718,0.955347,0.967863,bepridil,31.5,15
76,40.8363,-88.0205,265.921,484.15,381.91,330.23,153.92,909.18,457.9,133.372,206.086,72.7031,425.03,0.0319625,0,0,76,1.01901,0.956191,0.982017,1.04914,0.992428,1.02734,1.00929,0.994908,1.04419,bepridil,31.5,15
77,40.6656,-88.0283,266.347,505.13,398.84,342.62,162.51,940.33,484.03,122.191,193.55,71.3492,435.2,0.0277033,0,0,77,0.965942,1.0166,1.04141,0.954683,0.979345,1.03098,1.04105,1.0108,0.994916,bepridil,31.5,15
78,40.6053,-88.0351,267.133,501.58,392.9,337.59,163.99,923.74,470.24,129.881,202.545,72.6528,422.16,0.0306844,0,0,78,1.03565,0.960485,1.04782,0.964444,0.9707,0.964641,0.981761,1.02008,0.998796,bepridil,31.5,15
79,40.9156,-88.0069,265.056,506.31,397.17,340.82,165.49,924.77,472.02,130.883,203.041,72.1462,418.46,0.0285655,0,0,79,1.02136,0.964992,0.980551,0.960418,0.95197,0.991832,1.04563,0.959633,1.0472,bepridil,31.5,15
80,40.9391,-88.0036,264.805,502.1,394.25,338.46,163.64,916.09,464.41,135.512,208.725,73.2015,413.99,0.0270162,0,0,80,0.991185,1.03224,0.968221,0.983854,0.971214,1.00734,0.99041,0.9521,1.0205,bepridil,31.5,15
81,40.6654,-88.0269,266.4,493.98,388.57,334.74,159.24,926.34,471.74,126.332,198.608,72.2658,432.36,0.0295451,0,0,81,0.997256,1.02075,1.00338,1.00928,1.00545,0.99525,0.994826,1.00273,0.981902,bepridil,31.5,15
82,40.8737,-88.0377,267.142,495.95,388.9,335.27,160.68,934.69,478.24,121.841,193.45,71.5993,438.74,0.0289557,0,0,82,1.00992,1.03146,0.977386,1.0296,0.99618,0.951234,1.01506,1.02705,0.982665,bepridil,31.5,15
83,41.1364,-88.0353,267.256,496.31,389.89,335.17,161.14,913.15,461.74,135.827,209.186,73.3481,416.84,0.0290559,0,0,83,0.993991,0.99138,0.955959,0.970543,1.00253,1.03473,0.964574,1.03097,1.03646,bepridil,31.5,15
84,40.4941,-88.0162,265.658,499.46,391.98,337.06,162.4,932.14,476.68,123.81,195.297,71.4767,432.68,0.0303163,0,0,84,0.958106,0.980159,1.03792,0.969489,1.01605,0.976903,1.04766,0.976672,0.99931,bepridil,31.5,15
85,40.4848,-88.0423,267.545,502.22,393.24,337.88,164.34,944.25,485.67,118.042,189.22,71.1678,442.03,0.030275,0,0,85,0.951026,1.00001,1.0481,0.955026,1.02422,0.950104,1.01746,1.03315,0.951185,bepridil,31.5,15
86,40.4824,-88.0277,266.345,492.12,388.85,335.03,157.09,932.01,475.87,122.862,194.743,71.8712,439.89,0.0314697,0,0,86,1.02063,0.982962,1.01768,0.988079,0.998168,1.03941,1.00054,1.00182,0.959781,bepridil,31.5,15
